#disease	phenotype	onset	frequency	severity
MONDO:0002422	HP:0002664			
MONDO:0007064	HP:0000007			
MONDO:0007064	HP:0000246		HP:0040282	
MONDO:0007064	HP:0000907			
MONDO:0007064	HP:0000926			
MONDO:0007064	HP:0001442			
MONDO:0007064	HP:0001508		HP:0040282	
MONDO:0007064	HP:0001744			
MONDO:0007064	HP:0001880			
MONDO:0007064	HP:0001890			
MONDO:0007064	HP:0001967			
MONDO:0007064	HP:0001973			
MONDO:0007064	HP:0002014		HP:0040282	
MONDO:0007064	HP:0002090			
MONDO:0007064	HP:0002099			
MONDO:0007064	HP:0002240			
MONDO:0007064	HP:0002644			
MONDO:0007064	HP:0002718			
MONDO:0007064	HP:0002720			
MONDO:0007064	HP:0002841			
MONDO:0007064	HP:0002850			
MONDO:0007064	HP:0003212		HP:0040282	
MONDO:0007064	HP:0004429			
MONDO:0007064	HP:0004430			
MONDO:0007064	HP:0005359			
MONDO:0007064	HP:0005365			
MONDO:0007064	HP:0005424			
MONDO:0007064	HP:0008348			
MONDO:0007064	HP:0010976		HP:0040282	HP:0012828
MONDO:0007064	HP:0012191			
MONDO:0007064	HP:0030273			
MONDO:0007065	HP:0000006			
MONDO:0007065	HP:0001878			
MONDO:0007065	HP:0002149			HP:0012825
MONDO:0007065	HP:0004446			
MONDO:0007065	HP:0004823			
MONDO:0007065	HP:0030270			
MONDO:0007066	HP:0000006			
MONDO:0007066	HP:0001930		HP:0040283	
MONDO:0007067	HP:0000006			
MONDO:0007067	HP:0001901			
MONDO:0007067	HP:0030271			
MONDO:0007068	HP:0000007			
MONDO:0007068	HP:0000154			
MONDO:0007068	HP:0000219		HP:0040281	
MONDO:0007068	HP:0000248		HP:0040281	
MONDO:0007068	HP:0000252		HP:0040283	
MONDO:0007068	HP:0000319		HP:0040281	
MONDO:0007068	HP:0000343		HP:0040281	
MONDO:0007068	HP:0000369		HP:0040281	
MONDO:0007068	HP:0000463		HP:0040281	
MONDO:0007068	HP:0000486			
MONDO:0007068	HP:0000639			
MONDO:0007068	HP:0000717			
MONDO:0007068	HP:0000718			
MONDO:0007068	HP:0000742			
MONDO:0007068	HP:0000748			
MONDO:0007068	HP:0000750			
MONDO:0007068	HP:0000752			
MONDO:0007068	HP:0000817			
MONDO:0007068	HP:0001249		HP:0040281	
MONDO:0007068	HP:0001250		HP:0040281	
MONDO:0007068	HP:0001263			
MONDO:0007068	HP:0001272			
MONDO:0007068	HP:0001290		HP:0040281	
MONDO:0007068	HP:0001336			
MONDO:0007068	HP:0001348			
MONDO:0007068	HP:0001510			
MONDO:0007068	HP:0002059			
MONDO:0007068	HP:0002066			
MONDO:0007068	HP:0002179			
MONDO:0007068	HP:0002540			
MONDO:0007068	HP:0003196		HP:0040281	
MONDO:0007068	HP:0003202			
MONDO:0007068	HP:0003429			
MONDO:0007068	HP:0003593			
MONDO:0007068	HP:0005487		HP:0040281	
MONDO:0007068	HP:0006808			
MONDO:0007068	HP:0011344		HP:0040281	
MONDO:0007068	HP:0040082		HP:0040283	
MONDO:0018690	HP:0000006			
MONDO:0018690	HP:0001265			
MONDO:0018690	HP:0012074			
MONDO:0007070	HP:0000006			
MONDO:0007070	HP:0000716		HP:0040281	
MONDO:0007070	HP:0000739		HP:0040281	
MONDO:0007070	HP:0001513		HP:0040281	
MONDO:0007070	HP:0002019		HP:0040283	
MONDO:0007070	HP:0002360		HP:0040283	
MONDO:0007070	HP:0002829		HP:0040281	
MONDO:0007070	HP:0003270			
MONDO:0007070	HP:0003596			
MONDO:0007070	HP:0003828			
MONDO:0007070	HP:0007596			
MONDO:0007070	HP:0012378		HP:0040281	
MONDO:0007070	HP:0012532			
MONDO:0007071	HP:0000006			
MONDO:0007071	HP:0000846			
MONDO:0007071	HP:0000953			
MONDO:0007071	HP:0001939			
MONDO:0007071	HP:0012605			
MONDO:0007072	HP:0000006			
MONDO:0007072	HP:0000202			
MONDO:0007072	HP:0000509			
MONDO:0007072	HP:0000579		HP:0040281	
MONDO:0007072	HP:0000668			
MONDO:0007072	HP:0000677			
MONDO:0007072	HP:0000691			
MONDO:0007072	HP:0000958		HP:0040281	
MONDO:0007072	HP:0000963		HP:0040281	
MONDO:0007072	HP:0000964			
MONDO:0007072	HP:0000968			
MONDO:0007072	HP:0000992			
MONDO:0007072	HP:0001171			
MONDO:0007072	HP:0001480		HP:0040281	
MONDO:0007072	HP:0001770		HP:0040281	
MONDO:0007072	HP:0001803		HP:0040281	
MONDO:0007072	HP:0001839		HP:0040281	
MONDO:0007072	HP:0002209		HP:0040282	
MONDO:0007072	HP:0002215			
MONDO:0007072	HP:0002286			
MONDO:0007072	HP:0002293			
MONDO:0007072	HP:0002557		HP:0040282	
MONDO:0007072	HP:0002561		HP:0040282	
MONDO:0007072	HP:0003187		HP:0040282	
MONDO:0007072	HP:0004334			
MONDO:0007072	HP:0006357			
MONDO:0007072	HP:0006610			
MONDO:0007072	HP:0007455			
MONDO:0007073	HP:0000006			
MONDO:0007073	HP:0000160		HP:0040281	
MONDO:0007073	HP:0000171			
MONDO:0007073	HP:0000190			
MONDO:0007073	HP:0000278			
MONDO:0007073	HP:0000286			
MONDO:0007073	HP:0000347		HP:0040281	
MONDO:0007073	HP:0001171		HP:0040282	
MONDO:0007073	HP:0003745			
MONDO:0007073	HP:0009776		HP:0040282	
MONDO:0007073	HP:0012730			
MONDO:0007074	HP:0000006			
MONDO:0007074	HP:0009775			
MONDO:0007074	HP:0031009			
MONDO:0007075	HP:0000006			
MONDO:0007075	HP:0000522			
MONDO:0007075	HP:0000584			
MONDO:0007075	HP:0000613			
MONDO:0007075	HP:0007732			
MONDO:0007075	HP:0007820			
MONDO:0018138	HP:0000006			
MONDO:0018138	HP:0000407			
MONDO:0018138	HP:0000486			
MONDO:0018138	HP:0000505			
MONDO:0018138	HP:0000540			
MONDO:0018138	HP:0000613			
MONDO:0018138	HP:0000639			
MONDO:0018138	HP:0001003			
MONDO:0018138	HP:0001010			
MONDO:0018138	HP:0001093			
MONDO:0018138	HP:0001107			
MONDO:0018138	HP:0001417			
MONDO:0018138	HP:0001756			
MONDO:0018138	HP:0005592			
MONDO:0018138	HP:0007663			
MONDO:0018138	HP:0007750			
MONDO:0007077	HP:0000006			
MONDO:0007077	HP:0000635			
MONDO:0007077	HP:0002226		HP:0040281	
MONDO:0007077	HP:0002227			
MONDO:0007077	HP:0007513			
MONDO:0007077	HP:0007894			
MONDO:0007077	HP:0008527			
MONDO:0007077	HP:0008619			
MONDO:0007078	HP:0000006			
MONDO:0007078	HP:0000135			
MONDO:0007078	HP:0000293		HP:0040282	
MONDO:0007078	HP:0000311		HP:0040281	
MONDO:0007078	HP:0000470		HP:0040282	
MONDO:0007078	HP:0000518		HP:0040282	
MONDO:0007078	HP:0000639		HP:0040282	
MONDO:0007078	HP:0000684		HP:0040282	
MONDO:0007078	HP:0000821			
MONDO:0007078	HP:0000852		HP:0040280	
